ID	GROUP	SESSION	DATE	TIME	TRIAL_BLK	BLK_NO	DISTRIBUTION	AMP	LOGICAL_AMP	PHY_BOUND	DISTANCE	TRUE_CAT	SUB RESPONSE	FEEDBACK	RT	CORRECT_B	CORRECT_S	pDISTRIBUTION	pAMP	pphyBOUND	pDISTANCE	pTRUE_CAT	pSUB RESPONSE	pFEEDBACK	pRT	TOTAL_BLK	TOTAL_TRIAL_INBLK	TRIAL_SSE
1	0	1	20260611	155123	1	1	0	72.6426	0.8428	60	12.6426	1	1	1	1.3260933	1	1	---	---	---	---	---	---	---	---	13	30	1
1	0	1	20260611	155126	2	1	0	72.4774	0.8318	60	12.4774	1	1	1	0.9176003	2	2	0	72.6426	60	12.6426	1	1	1	1.3260933	13	30	2
1	0	1	20260611	155129	3	1	0	54.6008	-0.3599	60	5.3992	0	0	1	0.7990508	3	3	0	72.4774	60	12.4774	1	1	1	0.9176003	13	30	3
1	0	1	20260611	155132	4	1	0	68.4614	0.5641	60	8.4614	1	1	1	0.7165651	4	4	0	54.6008	60	5.3992	0	0	1	0.7990508	13	30	4
1	0	1	20260611	155134	5	1	0	69.1095	0.6073	60	9.1095	1	1	1	0.9158763	5	5	0	68.4614	60	8.4614	1	1	1	0.7165651	13	30	5
1	0	1	20260611	155137	6	1	0	58.7594	-0.0827	60	1.2406	0	0	1	0.598257	6	6	0	69.1095	60	9.1095	1	1	1	0.9158763	13	30	6
1	0	1	20260611	155139	7	1	0	61.2246	0.0816	60	1.2246	1	1	1	4.7862861	7	7	0	58.7594	60	1.2406	0	0	1	0.598257	13	30	7
1	0	1	20260611	155146	8	1	0	49.2657	-0.7156	60	10.7343	0	0	1	0.732109	8	8	0	61.2246	60	1.2246	1	1	1	4.7862861	13	30	8
1	0	1	20260611	155148	9	1	0	66.0982	0.4065	60	6.0982	1	1	1	0.6335098	9	9	0	49.2657	60	10.7343	0	0	1	0.732109	13	30	9
1	0	1	20260611	155151	10	1	0	64.9318	0.3288	60	4.9318	1	0	0	0.6646576	9	9	0	66.0982	60	6.0982	1	1	1	0.6335098	13	30	10
1	0	1	20260611	155153	11	1	0	56.2895	-0.2474	60	3.7105	0	0	1	0.6324944	10	10	0	64.9318	60	4.9318	1	0	0	0.6646576	13	30	11
1	0	1	20260611	155155	12	1	0	49.2026	-0.7198	60	10.7974	0	0	1	0.9483634	11	11	0	56.2895	60	3.7105	0	0	1	0.6324944	13	30	12
