ID,GROUP,SESSION,DATE,TIME,TRIAL_BLK,BLK_NO,DISTRIBUTION,AMP,LOGICAL_AMP,PHY_BOUND,DISTANCE,TRUE_CAT,SUB RESPONSE,FEEDBACK,RT,CORRECT_B,CORRECT_S,pDISTRIBUTION,pAMP,pphyBOUND,pDISTANCE,pTRUE_CAT,pSUB RESPONSE,pFEEDBACK,pRT,TOTAL_BLK,TOTAL_TRIAL_INBLK,TRIAL_SSE
P01,0,1,20260611,185115,1,1,0,74.5976,0.9732,60.0,14.5976,1,0,0,0.776837799930945,0,0,---,---,---,---,---,---,---,---,13,30,1
P01,0,1,20260611,185118,2,1,0,62.6475,0.1765,60.0,2.6475,1,1,1,0.432396600022912,1,1,0,74.5976,60.0,14.5976,1,0,0,0.776837799930945,13,30,2
P01,0,1,20260611,185120,3,1,0,65.9604,0.3974,60.0,5.9604,1,1,1,0.3836729999165982,2,2,0,62.6475,60.0,2.6475,1,1,1,0.432396600022912,13,30,3
P01,0,1,20260611,185122,4,1,0,51.6576,-0.5562,60.0,8.3424,0,0,1,0.26644089992623776,3,3,0,65.9604,60.0,5.9604,1,1,1,0.3836729999165982,13,30,4
P01,0,1,20260611,185124,5,1,0,46.8639,-0.8757,60.0,13.1361,0,0,1,0.2320107000414282,4,4,0,51.6576,60.0,8.3424,0,0,1,0.2664408999262377,13,30,5
P01,0,1,20260611,185126,6,1,0,57.4247,-0.1717,60.0,2.5753,0,0,1,0.23349610005971044,5,5,0,46.8639,60.0,13.1361,0,0,1,0.2320107000414282,13,30,6
P01,0,1,20260611,185128,7,1,0,66.3144,0.421,60.0,6.3144,1,0,0,0.23220190010033548,5,5,0,57.4247,60.0,2.5753,0,0,1,0.2334961000597104,13,30,7
P01,0,1,20260611,185130,8,1,0,72.9298,0.862,60.0,12.9298,1,0,0,1.2328242000658065,5,5,0,66.3144,60.0,6.3144,1,0,0,0.2322019001003354,13,30,8
P01,0,1,20260611,185133,9,1,0,73.095,0.873,60.0,13.095,1,0,0,0.31594379991292953,5,5,0,72.9298,60.0,12.9298,1,0,0,1.2328242000658065,13,30,9
P01,0,1,20260611,185135,10,1,0,47.3992,-0.8401,60.0,12.6008,0,0,1,0.3492405000142753,6,6,0,73.095,60.0,13.095,1,0,0,0.3159437999129295,13,30,10
P01,0,1,20260611,185137,11,1,0,52.48,-0.5013,60.0,7.52,0,0,1,0.7151873999973759,7,7,0,47.3992,60.0,12.6008,0,0,1,0.3492405000142753,13,30,11
P01,0,1,20260611,185139,12,1,0,64.4592,0.2973,60.0,4.4592,1,1,1,0.34987849998287857,8,8,0,52.48,60.0,7.52,0,0,1,0.7151873999973759,13,30,12
P01,0,1,20260611,185141,13,1,0,53.2226,-0.4518,60.0,6.7774,0,1,0,0.400598399923183,8,8,0,64.4592,60.0,4.4592,1,1,1,0.3498784999828785,13,30,13
P01,0,1,20260611,185143,14,1,0,74.2825,0.9522,60.0,14.2825,1,1,1,0.40023759996984154,9,9,0,53.2226,60.0,6.7774,0,1,0,0.400598399923183,13,30,14
